127.0.0.1 - - [11/Mar/2026:12:35:30 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:35:31 +0530] "GET /Web_Project/ HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:35:34 +0530] "GET /Web_Project/WelcomeCtl HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:35:36 +0530] "GET /Web_Project/LoginCtl HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:35:45 +0530] "POST /Web_Project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:35:45 +0530] "GET /Web_Project/WelcomeCtl HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:37:12 +0530] "GET /apple-touch-icon.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:37:12 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:37:12 +0530] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:37:21 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:37:21 +0530] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:37:21 +0530] "GET /apple-touch-icon.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:37:28 +0530] "GET /Web_Project/WelcomeCtl HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:37:28 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:39:07 +0530] "GET /Web_Project/LoginCtl HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:39:17 +0530] "POST /Web_Project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:39:17 +0530] "GET /Web_Project/WelcomeCtl HTTP/1.1" 200 471
