127.0.0.1 - - [26/Feb/2026:11:25:20 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:25:22 +0530] "GET /Web_Project/HelloServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:29:18 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:29:26 +0530] "GET /Web_Project/HelloServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:29:27 +0530] "GET /Web_Project/HelloServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:29:36 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:29:38 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:30:16 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:30:18 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:30:20 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:30:24 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:33:19 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:33:21 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:33:22 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:34:31 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:34:33 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:34:34 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:34:35 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:34:35 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:34:35 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:34:39 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:34:40 +0530] "GET /Web_Project/index.jsp HTTP/1.1" 200 308
